sample_number,site,element,value,group
118,Forest,Te,0.04,geochem
118,Forest,Th,3.4,geochem
118,Forest,Tl,0.18,geochem
118,Forest,U,1.16,geochem
118,Forest,V,32,geochem
118,Forest,Y,9.96,geochem
118,Forest,Zn,43,geochem
118,Forest,Zr,3.2,geochem
119,Forest,Ag,0.1,geochem
119,Forest,Al,0.81,geochem
119,Forest,As,4.5,geochem
119,Forest,B,20,geochem
119,Forest,Ba,160,geochem
119,Forest,Be,0.57,geochem
119,Forest,Bi,0.22,geochem
119,Forest,Ca,0.9,geochem
119,Forest,Cd,0.55,geochem
119,Forest,Ce,30.1,geochem
119,Forest,Co,6.4,geochem
119,Forest,Cr,15,geochem
119,Forest,Cs,0.49,geochem
119,Forest,Cu,17.8,geochem
119,Forest,Fe,1.21,geochem
119,Forest,Ga,2.68,geochem
119,Forest,Hf,0.13,geochem
119,Forest,Hg,0.07,geochem
119,Forest,In,0.024,geochem
119,Forest,K,0.21,geochem
119,Forest,La,15.2,geochem
119,Forest,Li,7.7,geochem
119,Forest,Mg,0.31,geochem
119,Forest,Mn,803,geochem
119,Forest,Mo,0.7,geochem
